cod_ibge,municipio,percentual,valor_aplicado,receita_base,periodo
3510302,Capela do Alto,,,,6
3511607,Cesário Lange,,,,6
3512704,Corumbataí,,,,6
3518503,Guareí,,,,6
3521002,Iperó,,,,6
3526100,Juquiá,,,,6
3530300,Mirassol,,,,6
3543907,Rio Claro,,,,6
3545209,Salto,,,,6
3550605,São Roque,,,,6
3554003,Tatuí,,,,6
